"timelag","month2","year","Vol","Cmon"
30,6,2012,NA,0
30.5,6.5,2012,NA,0.124550996473938
31,7,2012,NA,0.0838593283868988
31.5,7.5,2012,NA,0.0899208036503774
32,8,2012,NA,0.0859507415454426
32.5,8.5,2012,NA,0.0317742534172139
33,9,2012,NA,0.0620886142223325
33.5,9.5,2012,NA,0.061295085676181
34,10,2012,NA,0.0580356010131783
34.5,10.5,2012,NA,0.0547761163501756
35,11,2012,NA,0.051516631687173
35.5,11.5,2012,NA,0.0482571470241703
36,12,2012,NA,0.0169841847678755
36.5,12.5,2012,NA,0.0286703529372716
37,1,2013,NA,0.0453541022278514
37.5,1.5,2013,0.0116910307373812,0.0620378515184311
38,2,2013,0.0157139662067667,0.0364959788331533
38.5,2.5,2013,0.0158251416102566,0.00975543966912426
39,3,2013,0.0150838897107317,0.0403917145075106
39.5,3.5,2013,0.01662244801329,0.0725289359748859
40,4,2013,0.0214938047961613,0.044181847367404
40.5,4.5,2013,0.0208671785325536,0.0548579426489547
41,5,2013,0.0183192971227088,0.0158256830520544
41.5,5.5,2013,0.0141130615886262,0.0688207508985976
42,6,2013,0.0138950107021517,0.0570317891009197
42.5,6.5,2013,0.0167315946777134,0.117397970360187
43,7,2013,0.0188258446621284,0.0749209072298422
43.5,7.5,2013,0.0204761934646105,0.058252427184466
44,8,2013,0.014181812635355,0.0872655118734278
44.5,8.5,2013,0.0142569584767932,0.0952380952380952
45,9,2013,0.0126140481569957,0.0180921052631579
45.5,9.5,2013,0.01338042508503,0.0202020202020202
46,10,2013,0.0226947714092688,0.065770707600573
46.5,10.5,2013,0.0226977594702598,0.111339394999126
47,11,2013,0.0268192905384168,0.25249184341929
47.5,11.5,2013,0.0156871010889509,0.0373042838281827
48,12,2013,0.0194721584265222,0.151439899504419
48.5,12.5,2013,0.017753366135898,0.0687826880698363
49,1,2014,0.0160088236510066,0
49.5,1.5,2014,0.00918513809915787,0.0440984353721448
50,2,2014,0.0122801492091241,0.0663684602857781
50.5,2.5,2014,0.0195156995818659,0.122318842253254
51,3,2014,0.0184127368748147,0.0571510123443825
51.5,3.5,2014,0.018484913606614,0.0509601070472987
52,4,2014,0.0155660062857788,0.0609378989057198
52.5,4.5,2014,0.0138011612621896,0.073441027698023
53,5,2014,0.0146254112314473,0.0384843486929162
53.5,5.5,2014,0.0151783271091012,0.0572752828556462
54,6,2014,0.0401386912592713,0.223893864329323
54.5,6.5,2014,0.0230572092730605,0.0435741639130903
55,7,2014,0.0153839320300334,0.0921193348622816
55.5,7.5,2014,0.0169157394779562,0.0641941981812785
56,8,2014,0.0232170592323878,0.0232558139534884
56.5,8.5,2014,0.0212682088345935,0.111661787390726
57,9,2014,0.0196214672900824,0.0875
57.5,9.5,2014,0.0249665629774678,0.0513111074045244
58,10,2014,0.0275525554505757,0.0359573502722323
58.5,10.5,2014,0.0164317659775422,0.0332559750554372
59,11,2014,0.0316824203985562,0.0305545998386421
59.5,11.5,2014,0.0182403734441388,0.027853224621847
60,12,2014,0.0282691724640963,0.176558369911712
60.5,12.5,2014,0.0124517257089504,0.247741850521293
61,1,2015,0.0110961942479999,0.120321460195649
61.5,1.5,2015,0.0137561527217107,0.0978030683046249
62,2,2015,0.0130565106155875,0.131623452057488
62.5,2.5,2015,0.0163532278054307,0.0998896554659728
63,3,2015,0.0165263981071389,0.116270712033074
63.5,3.5,2015,0.0289560246071701,0.160468879028757
64,4,2015,0.0212503097293221,0.206300470117192
64.5,4.5,2015,0.0285815611596439,0.133299192791355
65,5,2015,0.0168783037092458,0.113881056888294
65.5,5.5,2015,0.0194786559229669,0.0693332701665622
66,6,2015,0.019799240037656,0.190928999911427
66.5,6.5,2015,0.0175571691932237,0.0748493232693553
67,7,2015,0.0191088068167113,0.0337987351922514
67.5,7.5,2015,0.0274373485541664,0.180429119954197
68,8,2015,0.0350463479881632,0.116733870056508
68.5,8.5,2015,0.0251300261728139,0.103191287878788
69,9,2015,0.028881128497508,0.178295363966416
69.5,9.5,2015,0.0241367348686296,0.127499741783184
70,10,2015,0.0210297459249108,0.106415568714436
70.5,10.5,2015,0.0183390431209442,0.0853313956456867
71,11,2015,0.0283285640854502,0.0642472225769378
71.5,11.5,2015,0.0153037891015314,0.144972900365599
72,12,2015,0.0322543146637156,0.209357364970561
72.5,12.5,2015,0.016784502546051,0.219474497681607
73,1,2016,0.0280525245020642,0.167056936924703
73.5,1.5,2016,0.145682385898737,0.15628792570828
74,2,2016,0.124527208579803,0.216939748098413
74.5,2.5,2016,0.162508122149967,0.176357409423531
75,3,2016,0.157449532759038,0.237472087270944
75.5,3.5,2016,0.177512747035921,0.232107577407888
76,4,2016,0.179914837321209,0.157492359239652
76.5,4.5,2016,0.152894587874817,0.110528317434158
77,5,2016,0.156553283414686,0.121889448397709
77.5,5.5,2016,0.15343835086288,0.133050557620742
78,6,2016,0.177112644975643,0.192073848633925
78.5,6.5,2016,0.126778389197805,0.0731374434766455
79,7,2016,0.147765158142491,0.093796626679356
79.5,7.5,2016,0.127205307302136,0.0745097246134648
80,8,2016,0.13078776285809,0.152199422253228
80.5,8.5,2016,0.126122422114843,0.0467032967032967
81,9,2016,0.123026614721144,0.0500784099133359
81.5,9.5,2016,0.144813167356243,0.184807408573297
82,10,2016,0.160415217613218,0.0421331055463142
82.5,10.5,2016,0.135351374721951,0.177149783682874
83,11,2016,0.110681682916479,0.312166461819434
83.5,11.5,2016,0.107828175087731,0.447183139955994
84,12,2016,0.167936906267783,0.0627056202600353
84.5,12.5,2016,0.189774344145269,0.248520710059172
85,1,2017,0.173277640669943,0.237167953585024
85.5,1.5,2017,0.122989052164223,0.149074195628152
86,2,2017,0.0965222401462643,0.158185211485525
86.5,2.5,2017,0.10858922678609,0.10415795714322
87,3,2017,0.142241924871638,0.246007163257464
87.5,3.5,2017,0.17003144474959,0.17274272151986
88,4,2017,0.125882013060056,0.220311364863177
88.5,4.5,2017,0.131341111453505,0.243501655505336
89,5,2017,0.131641235673717,0.183854126536448
89.5,5.5,2017,0.13402103991973,0.151015147173247
90,6,2017,0.148487244766413,0.343168148836281
90.5,6.5,2017,0.108965343095475,0.10594812865628
91,7,2017,0.10937780038834,0.196470829711195
91.5,7.5,2017,0.155726713118516,0.0686523933678775
92,8,2017,0.169048759364379,0.0759119720129443
92.5,8.5,2017,0.153485739996176,0.083171550658011
93,9,2017,0.159410042150985,0.0716999184390489
93.5,9.5,2017,0.148743496080834,0.425194830484563
94,10,2017,0.159456672548754,0.0900121542744254
94.5,10.5,2017,0.159327672597098,0.0428277315211781
95,11,2017,0.154905076618466,0.309804740524173
95.5,11.5,2017,0.145551383698177,0.126694074903917
96,12,2017,0.225879252375529,0.0943984746680506
96.5,12.5,2017,0.244798508590214,0.686043570153737
97,1,2018,0.217627672456591,0.159746267427985
97.5,1.5,2018,0.198393834662762,0.183251287170237
98,2,2018,0.153317142572733,0.26671289896819
98.5,2.5,2018,0.132999863441501,0.0625675758237739
99,3,2018,0.180142558064684,0.265932541166016
99.5,3.5,2018,0.185405908896336,0.174464995997998
100,4,2018,0.147717355528576,0.261684129762313
100.5,4.5,2018,0.114910595112423,0.1071494818089
101,5,2018,0.113202435757414,0.0899511644696636
101.5,5.5,2018,0.0914179134631056,0.100299145472611
102,6,2018,0.094737117560767,0.0618281251006926
102.5,6.5,2018,0.139011555123811,0.184188561318059
103,7,2018,0.103482892149206,0.0630989184961066
103.5,7.5,2018,0.117493040375117,0.142581435369447
104,8,2018,0.138260933951313,0.0752042825671948
104.5,8.5,2018,0.176826674148367,0.104933139333472
105,9,2018,0.160495118945068,0.0825340425745159
105.5,9.5,2018,0.17457754135467,0.0601349458155598
106,10,2018,0.175772564694791,0.0377358490566038
106.5,10.5,2018,0.191065687022186,0.0618366745283019
107,11,2018,0.198838043957598,0.0859375
107.5,11.5,2018,0.154850965534131,0.0482555678277813
108,12,2018,0.214088678721266,0.0426988628680209
108.5,12.5,2018,0.212458856246172,0.341083318737288
109,1,2019,0.203623912343746,0.0627070269409316
109.5,1.5,2019,0.191509810800399,0.120265231069986
110,2,2019,0.138600797405261,0.163066003029229
110.5,2.5,2019,0.174021638147888,0.383101206687231
111,3,2019,0.170813359499287,0.0950703786424198
111.5,3.5,2019,0.176531284601841,0.150001975778201
112,4,2019,0.180721525099594,0.0848860307302049
112.5,4.5,2019,0.155955343193184,0.128014091834768
113,5,2019,0.126014682778301,0.0397727272727273
113.5,5.5,2019,0.102680848192899,0.114178529313961
114,6,2019,0.0982425424937353,0.195726122527687
114.5,6.5,2019,0.130428824833897,0.0941750062736728
115,7,2019,0.128324574174799,0.0758874005964169
115.5,7.5,2019,0.130761413771858,0.0892216450973666
116,8,2019,0.140886010682636,0.0659765301902399
116.5,8.5,2019,0.128557582714598,0.120591185301787
117,9,2019,0.138027895813589,0.134562293134757
117.5,9.5,2019,0.157284910173892,0.143368103089118
118,10,2019,0.230118025507124,0.152173913043478
118.5,10.5,2019,0.206738057225738,0.0909136456922809
119,11,2019,0.21453312404943,0.139682832380601
119.5,11.5,2019,0.193606714080758,0.317030618439181
120,12,2019,0.254364921143438,0.372596740119798
120.5,12.5,2019,0.247453130054635,0.672427259039223
121,1,2020,0.151286079241436,0.538702203671083
121.5,1.5,2020,0.13939937254301,0.404977148302942
122,2,2020,0.175384393623177,0.236892243876242
122.5,2.5,2020,0.0890817480893012,0.0688073394495413
123,3,2020,0.113191484001062,0.0726978428423474
123.5,3.5,2020,0.137756932487119,0.0765883462351536
124,4,2020,0.0993324679896294,0.0804788496279597
124.5,4.5,2020,0.102529019126855,0.0843693530207659
125,5,2020,0.089226887596906,0.088259856413572
125.5,5.5,2020,0.0708898808470723,0.064819999644605
126,6,2020,0.0898185533663359,0.0121457489878543
126.5,6.5,2020,0.104529208604485,0.119331655589155
127,7,2020,0.13115580694151,0.0957067197183342
127.5,7.5,2020,0.139711995692558,0.152709753564792
128,8,2020,0.174706048888365,0.049541120912412
