lat	lon
-33.03218	114.6236
-33.03488	114.6236
-33.05509	114.60917
-33.06452	114.60917
-33.07395	114.60917
-33.07934	114.60917
-33.11977	114.59475
-33.12785	114.59315
-33.13728	114.59315
-33.1575	114.58353
-33.15884	114.58193
-33.21274	114.55556
-33.21678	114.56041
-33.21948	114.56203
-33.23295	114.56203
-33.23834	114.56364
-33.24912	114.56203
-33.25317	114.56203
-33.28416	114.55879
-33.29224	114.55394
-33.30033	114.55394
-33.33806	114.52969
-33.34614	114.52969
-33.35692	114.52969
-33.36501	114.52969
-33.3704	114.52969
-33.43103	114.51352
-33.43777	114.50867
-33.44585	114.50705
-33.45394	114.50544
-33.46337	114.5022
-33.5011	114.49573
-33.50919	114.49412
-33.51053	114.49412
-33.55635	114.48765
-33.56578	114.48765
-33.57386	114.48765
-33.57656	114.48765
-33.61159	114.48118
-33.61968	114.47957
-33.62776	114.47795
-33.64528	114.47472
-33.69783	114.48765
-33.70457	114.48603
-33.74499	114.48118
-33.75038	114.48118
-33.84875	114.47957
-33.8501	114.47957
-33.91882	114.4828
-33.92016	114.48765
-33.96328	114.46718
-33.98619	114.47207
-33.99023	114.47207
-34.02122	114.47207
-34.03066	114.47207
-34.04009	114.47207
-34.04548	114.47207
-34.07108	114.47533
-34.07378	114.47533
-34.09399	114.47859
-34.10342	114.48022
-34.10746	114.48022
-34.19235	114.49325
-34.19909	114.48999
-34.20718	114.48999
-34.21526	114.49162
-34.21661	114.49162
-34.26646	114.5014
-34.27185	114.5014
-34.37561	114.54212
-34.38235	114.54375
-34.3837	114.54375
-34.43759	114.56493
-34.44568	114.56656
-34.45107	114.56819
-34.53461	114.61707
-34.53731	114.61707
-34.66532	114.68305
-34.68014	114.6978
-34.68822	114.69944
-34.70709	114.70436
-34.71383	114.70927
-34.71787	114.70927
-34.73134	114.71583
-34.73943	114.71747
-34.74751	114.72074
-34.75021	114.72238
-34.85127	114.84692
-34.85127	114.85019
-34.91056	114.90919
-34.91595	114.92229
-34.91864	114.92393
-34.9402	114.97801
-34.9429	114.98292
-34.96041	115.02389
-34.96176	115.03208
-34.96176	115.06813
-34.96446	115.07141
-34.98602	115.1091
-34.9914	115.11565
-35.00892	115.16809
-35.01162	115.16973
-35.0224	115.19922
-35.02913	115.20086
-35.03991	115.22872
-35.05204	115.2746
-35.06552	115.45316
-35.06417	115.46957
-35.05474	115.4827
-35.05878	115.49418
-35.06282	115.50075
-35.06552	115.51059
-35.06821	115.51552
-35.08438	115.55982
-35.08438	115.56967
-35.08842	115.61398
-35.08842	115.61726
-35.08708	115.62875
-35.08303	115.63203
-35.06282	115.64024
-35.06147	115.63859
-35.06013	115.67306
-35.05743	115.6747
-35.05474	115.69439
-35.05878	115.69931
-35.06417	115.72065
-35.06552	115.72065
-35.08573	115.76167
-35.08842	115.76988
-35.09247	115.78137
-35.09786	115.79449
-35.09786	115.80106
-35.1019	115.81747
-35.10729	115.82403
-35.11268	115.8306
-35.11402	115.83224
-35.12346	115.84865
-35.12885	115.85849
-35.13558	115.8667
-35.13963	115.8749
-35.15041	115.89132
-35.1531	115.8946
-35.16658	115.8946
-35.17466	115.87981
-35.17466	115.87816
-35.17601	115.86827
-35.18275	115.86827
-35.19218	115.87321
-35.19487	115.88311
-35.20296	115.8996
-35.207	115.9095
-35.22048	115.93258
-35.22721	115.93753
-35.22991	115.94413
-35.26359	115.98866
-35.26764	115.9969
-35.27168	116.0068
-35.27303	116.01174
-35.28246	116.03153
-35.28785	116.04143
-35.29189	116.05132
-35.29459	116.05627
-35.29863	116.07276
-35.30402	116.08925
-35.30537	116.1008
-35.30941	116.11399
-35.3121	116.12224
-35.3121	116.13708
-35.31615	116.14698
-35.32019	116.15522
-35.32962	116.18985
-35.33232	116.1981
-35.33636	116.208
-35.3404	116.22119
-35.34444	116.23273
-35.35118	116.26242
-35.35253	116.27561
-35.35387	116.28386
-35.35792	116.29705
-35.36061	116.3053
-35.36196	116.31849
-35.366	116.32674
-35.366	116.33828
-35.3687	116.34323
-35.37139	116.35477
-35.37409	116.36632
-35.37543	116.38116
-35.37813	116.3927
-35.37813	116.40425
-35.38217	116.41414
-35.38352	116.42734
-35.38487	116.43393
-35.38756	116.44877
-35.39026	116.46197
-35.39295	116.47186
-35.3943	116.48341
-35.39699	116.49495
-35.39699	116.5065
-35.39834	116.51474
-35.40104	116.53618
-35.40373	116.54608
-35.40508	116.55432
-35.40508	116.56587
-35.40643	116.57576
-35.40643	116.5873
-35.40643	116.59885
-35.41047	116.61534
-35.41047	116.63018
-35.41047	116.64338
-35.41316	116.65162
-35.41316	116.65327
-35.43068	116.73738
-35.43068	116.74233
